Key,Id,English(en),Italian(it),Russian(ru),Spanish(es)
Level,121952526336,Level,Livello,Уровень,Nivel
Lvl,1613149233152,Lvl,Lv,Ур,Nvl
Police_man_intro,309256971608064,Hey pal! Play these game and pay something to devs or I arrest you!,Hey pal! Play these game and pay something to devs or I arrest you!,Hey pal! Play these game and pay something to devs or I arrest you!,Hey pal! Play these game and pay something to devs or I arrest you!
Police_man_intro_2,312242514944000,Now go and play!,Now go and play!,Now go and play!,Now go and play!
Cityhall_unlock_1,367968994189312,You made it!,Ce l'hai fatta!,Ты сделал это!,¡Lo conseguiste!
Cityhall_unlock_2,368072845156352,We have a nice City Hall! ,Ora il nostro sindaco ha un bel posto in cui vivere!,Теперь у нашего мэра есть отличный дом!,¡Ahora tenemos un bonito ayuntamiento!
Cityhall_unlock_3,385694965948416,Let's build some houses for us!,Costruiamo qualche casa anche per noi!,Давай построим дома и для жителей!,¡Construyamos algunas casas para nosotros!
Cityhall_House_unlock_1,687214303371264,"Hello! I just moved in.
I need a shop to buy stuff. Please?","Ciao! Mi sono appena trasferita qui.
Avrei bisogno di un negozio per fare acquisti. Per favore?",Привет! Я только что переехала и мне нужен магазин чтобы купить кое что. Пожааалуйста!,"¡Hola! Acabo de mudarme.
Necesitaría una tienda para comprar cosas. Por favor?"
EndChapter1_1,401927165698048,This is the best city island in the world!,Questa è l'isola-cittá migliore del mondo!,Это лучший город-остров в мире!,¡Esta es la mejor isla ciudad del mundo!
EndChapter1_2,401927165698049,But we don't have anywhere to train or play sports...,Ma non abbiamo nessun posto in cui allenarci o fare sport...,Но нам совсем негде тренироваться и заниматься спортом...,Pero no tenemos ningún sitio donde entrenar o practicar deporte...
Stadium_unlock_1,687214345314304,"Hurray!
We have a stadium!","Hurrá!
Abbiamo uno stadio!","Ура!!! 
Теперь у нас есть стадион!","¡Hurra!
¡Tenemos un estadio!"
Stadium_unlock_2,687214349508608,Let's make a league to celebrate it!,Organizziamo un torneo per celebrarlo!,Давайте устроим турнир чтобы отпраздновать это!,¡Hagamos una liga para celebrarlo!
EndChapter2_1,687214349508609,The match is today!,La partita è oggi!,Сегодня будет игра!,¡El partido es hoy!
EndChapter2_2,687214349508610,So excited!,È cosí emozionante!,Как волнительно!,¡Que bien!
EndChapter2_3,688349881819136,"Wait...
Are the legs supposed to bend like that?","Aspetta...
le gambe dovrebbero piegarsi cosí?","Подождите..
А ноги разве должны так сгибаться?","Espera...
¿Las piernas se doblan en esa dirección?"
Hospital_mid_1,687214349508611,"The hospital is looking nice!
Let's make it bigger!","L'ospedale è fantastico!
Ingrandiamolo!","Больница выглядит отлично!
Давайте ее расширим!","¡El hospital está quedando genial!
¡Hagámoslo más grande!"
Hospital_unlock_1,687214349508612,"Great!
Now we'd need a pharmacy!","Stupendo!
Ora abbiamo bisogno di una farmacia!","Отлично!
Теперь нам нужна аптека!","¡Maravilloso!
¡Ahora solo necesitamos una farmacia!"
Pharmacy_unlock_1,687214353702912,It would be great to have an area to chill while you wait your turn.,Sarebbe fantastico avere un'area dove rilassarsi mentre aspetti il tuo turno.,"Было бы здорово иметь зону отдыха, чтобы расслабиться пока ждешь своей очереди.",Estaría bien tener un sitio tranquilo donde esperar a que una la atiendan.
